metric,baseline_224px,v4_resolution380,delta,direction
Accuracy (argmax),0.6752186588921283,0.7183673469387755,0.04314868804664718,improved
Macro AUC,0.8734100116446579,0.8807346193467067,0.007324607702048791,improved
Melanoma AUC,0.7964602986124855,0.823589396837962,0.02712909822547649,improved
Melanoma sensitivity (argmax),0.43548387096774194,0.47580645161290325,0.04032258064516131,improved
Melanoma sensitivity (threshold-adj.),0.8508064516129032,0.842741935483871,-0.008064516129032251,regressed
Macro F1,0.44124122105650904,0.4923459929006785,0.05110477184416945,improved
Balanced accuracy,0.4520286033573796,0.49817862899529497,0.04615002563791537,improved
MCC,0.43618649418551864,0.5173337254153361,0.08114723122981743,improved
SCC recall,0.13953488372093023,0.16279069767441862,0.023255813953488386,improved
Dermatofibroma recall,0.34375,0.28125,-0.0625,regressed
Vascular lesion recall,0.5833333333333334,0.6666666666666666,0.08333333333333326,improved
Melanoma -> nevus confusion (frac),0.3548387096774194,0.28225806451612906,-0.07258064516129031,decreased (better)
Melanoma -> PBK confusion (frac),0.13306451612903225,0.14919354838709678,0.01612903225806453,increased (worse)
Pigmented cluster total confusion (frac),0.4879032258064516,0.43145161290322587,-0.056451612903225756,decreased (better)
