metric,baseline_8cls_224px,v4_8cls_380px_B4,v7_8cls_380px_B0_balanced
Macro AUC,0.8734100116446579,0.8807346193467067,0.8591743532356433
Melanoma AUC,0.7964602986124855,0.823589396837962,0.733332233876465
Melanoma sensitivity (argmax),0.4354838709677419,0.4758064516129032,0.4112903225806452
Melanoma sensitivity (thresh-adj.),0.8508064516129032,0.842741935483871,0.5241935483870968
Cohen's kappa (argmax),0.435990496467468,0.516894364656995,0.3653565835849253
Overall accuracy (argmax),0.6752186588921283,0.7183673469387755,0.5696793002915452
Macro F1,0.44124122105650904,0.4923459929006785,0.3812396419324174
Balanced accuracy,0.4520286033573796,0.4981786289952949,0.5260483306318693
MCC,0.43618649418551864,0.5173337254153361,0.3781245675638097
