epoch,train_loss,val_loss,val_auc_macro,lr,time_sec,sens_melanoma,spec_melanoma,sens_basal_cell_carcinoma,spec_basal_cell_carcinoma
0,0.8619509024049324,0.9103053845502774,0.8163345635023511,5.5e-05,11.7,0.3936651583710407,0.8155844155844156,0.41333333333333333,0.9421397379912664
1,0.8875398916627449,0.9378469988748838,0.8089922950882003,0.0001,11.6,0.31221719457013575,0.8597402597402597,0.4266666666666667,0.9323144104803494
2,0.8195000274761303,0.9357101837874181,0.8130728199455801,9.698764640825613e-05,11.7,0.27149321266968324,0.9168831168831169,0.37333333333333335,0.9432314410480349
3,0.7980077416280061,0.9073717971863348,0.8189055967248737,8.831391993379295e-05,11.5,0.28054298642533937,0.9077922077922078,0.37333333333333335,0.9508733624454149
4,0.814996887357999,0.9054891845412499,0.8198180810249062,7.502500000000001e-05,11.6,0.31221719457013575,0.8987012987012987,0.4,0.9508733624454149
5,0.7906791438927522,0.9168035698346004,0.8219995173064213,5.872372647446318e-05,12.1,0.27601809954751133,0.9025974025974026,0.36,0.9563318777292577
6,0.8082366090943914,0.8984865732077513,0.8240179533296413,4.1376273525536834e-05,11.8,0.2895927601809955,0.9025974025974026,0.41333333333333333,0.9443231441048034
7,0.793196616025505,0.9306955522172506,0.8185716600954732,2.507500000000001e-05,11.8,0.27149321266968324,0.9012987012987013,0.4266666666666667,0.9410480349344978
8,0.7464308499369382,0.9309241294139088,0.8166409883035615,1.1786080066207056e-05,11.8,0.26244343891402716,0.9181818181818182,0.4,0.9432314410480349
9,0.7615941178384434,0.9375717136501424,0.8181957183401273,3.1123535917438795e-06,11.8,0.3031674208144796,0.8961038961038961,0.4,0.9465065502183406
10,0.737532393812673,0.9045333865311985,0.8218937450461308,0.0001,11.8,0.31221719457013575,0.8935064935064935,0.4,0.9486899563318777
11,0.7858747497028366,0.9111925383388816,0.8226350665274383,9.698764640825613e-05,11.8,0.34841628959276016,0.874025974025974,0.4266666666666667,0.9344978165938864
12,0.7817724648589793,0.9245476841204823,0.815906248000962,8.831391993379295e-05,11.8,0.2986425339366516,0.8961038961038961,0.4,0.9344978165938864
13,0.776685549945905,0.9049839322670438,0.8244386297468793,7.502500000000001e-05,11.8,0.28054298642533937,0.9272727272727272,0.4533333333333333,0.9432314410480349
14,0.7831244579153172,0.9048933932927976,0.8194583945343975,5.872372647446318e-05,11.8,0.2850678733031674,0.9064935064935065,0.4,0.9388646288209607
15,0.7880281987797799,0.9437481742333451,0.8177929599003463,4.1376273525536834e-05,11.8,0.3257918552036199,0.8792207792207792,0.48,0.9312227074235808
16,0.8230915410178048,0.9288078503820417,0.8196856637648837,2.507500000000001e-05,11.8,0.29411764705882354,0.9038961038961039,0.44,0.9377729257641921
17,0.7381180101379925,0.9129353932487495,0.823506648589446,1.1786080066207056e-05,11.8,0.29411764705882354,0.8935064935064935,0.4266666666666667,0.9355895196506551
18,0.7034907087856278,0.9107578694519675,0.8245301765373118,3.1123535917438795e-06,11.8,0.31221719457013575,0.8909090909090909,0.41333333333333333,0.9377729257641921
19,0.7463713888956313,0.891433091986432,0.8272988993343529,0.0001,11.8,0.26244343891402716,0.9272727272727272,0.4266666666666667,0.9497816593886463
