melanoma_threshold,melanoma_sens,melanoma_spec,macro_f1,balanced_accuracy,mcc,accuracy
0.05,0.9153225806451613,0.23449216087252897,0.19986064715063778,0.28622077609031377,0.15984254683792018,0.2239067055393586
0.055,0.9153225806451613,0.25221540558963873,0.2102361782330852,0.29436613949883506,0.17284112855460354,0.239067055393586
0.06,0.9153225806451613,0.267211997273347,0.22129750074902627,0.30062201355898543,0.1831334262432263,0.2513119533527697
0.065,0.9112903225806451,0.2822085889570552,0.2198954538486268,0.30235012415806384,0.18960615346691564,0.2618075801749271
0.07,0.907258064516129,0.2985685071574642,0.22675747466816218,0.3095215304964905,0.1973987896541613,0.27405247813411077
0.075,0.907258064516129,0.31424676209952285,0.23132010844653728,0.3122235981656635,0.20748458569606648,0.287463556851312
0.08,0.907258064516129,0.3285616905248807,0.2351810503489024,0.31457322222581385,0.2154580131344682,0.2991253644314869
0.085,0.907258064516129,0.34696659850034084,0.24384662271094462,0.3226011044313276,0.2260093301940236,0.31370262390670556
0.09,0.9032258064516129,0.3619631901840491,0.2477021833604797,0.3246816586394285,0.2336317733843647,0.3259475218658892
0.095,0.8991935483870968,0.38513974096796183,0.26003909087941923,0.3314960142628324,0.24540085656122781,0.34402332361516036
0.1,0.8991935483870968,0.40831629175187456,0.2701037200589531,0.3386969209412932,0.2583868516004241,0.3620991253644315
0.105,0.8991935483870968,0.42603953646898435,0.27355289970391966,0.34139898861046614,0.2674032799855507,0.37551020408163266
0.11,0.8951612903225806,0.4396728016359918,0.27462053750608384,0.3428921368035294,0.2717367359109777,0.3848396501457726
0.115,0.8911290322580645,0.4608043626448534,0.2784262324997956,0.3454426158236604,0.2793815468467215,0.39941690962099125
0.12,0.8911290322580645,0.47648261758691207,0.2800120790331191,0.3489309038514221,0.28739451005500477,0.41049562682215746
0.125,0.8830645161290323,0.49079754601226994,0.28270654299906905,0.3512936461600473,0.29193873630883876,0.4198250728862974
0.13,0.8830645161290323,0.5132924335378323,0.2870483237627765,0.35572178381186914,0.3034131065236517,0.43556851311953354
0.135,0.875,0.5296523517382413,0.28803496494164416,0.3564759373408529,0.30569586292758066,0.44314868804664725
0.14,0.8588709677419355,0.5507839127471029,0.29034073335400795,0.35727279398507655,0.3072263047974389,0.4518950437317784
0.145,0.8548387096774194,0.5698704839809134,0.2923996246122111,0.35923586699016996,0.31457303441081175,0.46355685131195334
0.15,0.8548387096774194,0.5862304021813224,0.29890616029936007,0.3648383482078302,0.32402170017228454,0.47463556851311955
0.155,0.8508064516129032,0.6094069529652352,0.30521528470000675,0.3711995055337435,0.3318477508118802,0.4880466472303207
0.16,0.8145161290322581,0.6305385139740968,0.30472143633231674,0.3701515032389246,0.3292297965405378,0.49387755102040815
0.165,0.7943548387096774,0.6462167689161554,0.30648808450718057,0.37009188401606113,0.32973388966446626,0.5002915451895044
0.17,0.7701612903225806,0.6591683708248125,0.3063335315974799,0.36996857248039816,0.33038878859241916,0.5049562682215744
0.175,0.7661290322580645,0.6802999318336742,0.3119271751027436,0.37620568540760524,0.33922300332613625,0.5148688046647231
0.18,0.7419354838709677,0.7007498295841854,0.3178036349944837,0.37922811357035024,0.3429496026517795,0.5236151603498542
0.185,0.7016129032258065,0.7130197682344922,0.31971795860024116,0.3804590113629466,0.340022685407605,0.5259475218658892
0.19,0.6854838709677419,0.7300613496932515,0.32192095489595984,0.384003120754423,0.34753819901538047,0.5358600583090379
0.195,0.6532258064516129,0.7505112474437627,0.3253904201990967,0.38813444023842936,0.35197740882783335,0.5440233236151604
0.2,0.6370967741935484,0.7648261758691206,0.32678752940408606,0.38960003603823423,0.35501975257002083,0.5498542274052478
